,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
805135,30/04/2020,Vente,"1150000,00",18.0,RUE,6387,DE MIROMESNIL,75008.0,BM,5,,146,"105,80",,,,,,,,,1,2.0,150.0,5.0,
805136,18/05/2020,Vente,"90000,00",29.0,BD,0719,DES BATIGNOLLES,75008.0,CD,1,,28,"4,06",,,,,,,,,1,3.0,0.0,0.0,
805137,19/05/2020,Vente,"97000,00",11.0,RUE,0904,DE BERRI,75008.0,BF,16,,46,,,,,,,,,,1,3.0,0.0,0.0,
805138,19/05/2020,Vente,"97000,00",11.0,RUE,0904,DE BERRI,75008.0,BF,16,,48,,,,,,,,,,1,3.0,0.0,0.0,
805139,14/05/2020,Vente,"917000,00",38.0,RUE,7237,DE PENTHIEVRE,75008.0,BK,15,,45,"72,44",,,,,,,,,1,2.0,70.0,2.0,
805140,14/05/2020,Vente,"917000,00",38.0,RUE,7237,DE PENTHIEVRE,75008.0,BK,15,,32,,,,,,,,,,1,3.0,0.0,0.0,
805141,25/05/2020,Vente,"455000,00",8.0,RUE,0632,BAILLEUL,75001.0,AT,172,,61,"39,07",,,,,,,,,1,2.0,39.0,2.0,
805142,20/05/2020,Vente,"121000,00",17.0,RUE,6834,NOTRE DAME DE NAZARETH,75003.0,AF,87,,18,"98,73",19.0,,20.0,"98,73",4.0,,,,4,2.0,99.0,4.0,
805143,19/05/2020,Vente,"160000,00",6.0,RUE,8611,SAINT FLORENTIN,75001.0,BD,5,,25,"18,90",,,,,,,,,1,2.0,19.0,1.0,
805144,14/05/2020,Vente,"50000,00",26.0,RUE,1449,CAMBON,75001.0,BC,67,,27,,,,,,,,,,1,2.0,102.0,4.0,
805145,14/05/2020,Vente,"50000,00",26.0,RUE,1449,CAMBON,75001.0,BC,67,,30,,,,,,,,,,1,2.0,103.0,3.0,
805146,15/05/2020,Vente,"168000,00",270.0,RUE,3518,DU FAUBOURG SAINT HONORE,75008.0,AY,4,,184,,,,,,,,,,1,3.0,0.0,0.0,
805147,12/05/2020,Vente,"3550000,00",3.0,RUE,7954,QUENTIN BAUCHART,75008.0,AP,5,,18,"241,93",20.0,"241,93",21.0,"241,93",22.0,"241,93",23.0,"241,93",12,4.0,199.0,0.0,
805148,12/05/2020,Vente,"3550000,00",3.0,RUE,7954,QUENTIN BAUCHART,75008.0,AP,5,,19,"241,93",,,,,,,,,1,2.0,24.0,1.0,
805149,12/05/2020,Vente,"3550000,00",3.0,RUE,7954,QUENTIN BAUCHART,75008.0,AP,5,,29,"241,93",,,,,,,,,1,3.0,0.0,0.0,
805150,21/04/2020,Vente,"750000,00",40.0,CRS,0124,ALBERT 1ER,75008.0,AK,42,,12,"96,10",55.0,"96,10",,,,,,,2,2.0,83.0,3.0,
805151,20/05/2020,Vente,"906000,00",179.0,RUE,9191,DU TEMPLE,75003.0,AE,32,,16,"62,36",23.0,"62,36",,,,,,,2,2.0,39.0,2.0,
805152,26/05/2020,Vente,"1089600,00",80.0,RUE,0420,DES ARCHIVES,75003.0,AI,63,,18,"74,05",,,,,,,,,1,2.0,82.0,3.0,
805153,27/05/2020,Vente,"1459839,00",11.0,RUE,7628,PORTALIS,75008.0,BX,84,,224,,288.0,,,,,,,,2,2.0,130.0,4.0,
805154,25/05/2020,Vente,"5000,00",29.0,RUE,6573,DE MOSCOU,75008.0,CE,77,,37,,,,,,,,,,1,2.0,37.0,2.0,
805155,27/05/2020,Vente,"2078000,00",71.0,RUE,0300,D AMSTERDAM,75008.0,CD,68,,10,,3.0,"160,10",4.0,"160,10",9.0,,,,4,2.0,162.0,7.0,
